lemma	Prepositio / venäjä	Sija / suomi	huom.	Esim. venäjä 1	Esim. venäjä 2
работа	на	ssa			
земля	на	ssa	maassa (maapallolla)	Нельзя сливать на землю масло, бензин и прочую гадость	
рука	на	ssa/lla	riippuen kontekstista: tietyissä tapauksissa (erit. Mon.) venäjässä на, vaikka suomessa sisäpaikallissija (vrt. kuitenkin ”kantoivat käsillään”)	У нас на руках есть медсправки 	На руке не было обручального кольца.
практика	на	ssa	käytännössä	"Однако на практике речь идёт о том, кто будет ""принимать"" приходящие в Россию крупные инвестиции"	poikkeus:  в практике Совета Безопасности ООН не было случаев, чтобы
предприятие	на	ssa	jonkin verran riippuvaisuuttaa kontekstista	Но у нас на предприятии работают больше ста тысяч человек; В течение зимних каникул дети обычно посещали несколько ёлок (в детском саду или в школе, на предприятиях и учреждениях); Забастовки на предприятиях и в организациях Российской Федерации в 1990― 1995 годы; 	Запреты не распространяются на торговлю алкоголем в предприятиях общественного питания.
свет (maailma)	на	ssa	mutta: maapallolla		
объект	на	ssa	kohteessa	Как всегда, в ночное время на объектах шли работы	
вода	на	ssa	tietyissä tapauksissa suomessa ssa, venäjässä на (vrt. veden pinta)	 Листья на воде;  Она развивает скорость на воде до 80, а по снегу ― до 100 км/ч 	
кухня	на	ssa	puhekielessä joskus myös в	Мы сидели на кухне и пили чай	
остров	на	ssa	saarella	Хотя на острове всё же росли деревья и кусты. У Хонма-сан на острове Хоккайдо десять отелей.	
выбор	на	ssa			
состояние	на	ssa			
юг	на	ssa			
Украина	на	ssa	Prepositio ainakin jossain määrin poliittinen valinta		
выставка	на	ssa		Прототип устройства был продемонстрирован на выставке офисного оборудования в Японии в 1964 году.	
север	на	ssa			
заседание	на	ssa	kokouksessa. ”В заседании” mahdollinen, muttei yleinen	На заседании был заслушан вопрос о проведении Конгресса бухгалтеров и аудиторов России; На заседании комитета также было решено обратиться к правительству,	
фотография	на	ssa	valokuvassa	А на фотографии нам было шесть лет 	
этап	на	ssa	vaiheessa	Ещё на этапе планировки сразу надо решить - сколько времени вы будете уделять будущему саду.	
стадия	на	ssa	vaiheessa		"Mutta находиться в стадии: ""Наш институт находится в стадии завершения"
свадьба	на	ssa	häissä		
природа	на	ssa	Kun merkityksessä 'viettää aikaa luonnossa'	Вместе мы очень любим отдыхать на природе; Находясь на природе, не нужно забывать, что после вас сюда придут другие люди;Отдыхать детям лучше на природе, а не в городе	В 1783 г. Дж. Митчелл предположил, что в природе должны существовать тёмные звёзды;  Вообще в природе встречаются и другие виды игольчатых кристаллов,
дело	на	ssa	на самом деле		
площадь	на	ssa		Тысячи людей собрались на Трафальгарской площади,	
встреча	на	ssa	tapaamisessa	Российскую делегацию на встрече возглавлял заместитель министра иностранных дел В. И. Калюжный. 	
проект	на				
почта	на	ssa		  Он тут же поехал на почту и отбил Павлу Алексеевичу телеграмму.	
праздник	на	ssa	juhlissa	На празднике мы были вместе с Титовым, 	
восток	на	ssa			
Запад	на	ssa			
небо	на	ssa*	”maan päällä niin kuin...”	Как на небе, так и на земле 	
родина	на	ssa	kotimaassa, synnyinmaassa, isänmaassa		
служба	на	ssa	vrt. на работе	В квартире тихо: мама на службе, Варя и Зоя― в школе. 	
семинар	на	ssa			
конференция	на	ssa	konferenssissa, symposiumissa, seminaarissa..	В прошлом году у нас на конференции выступал замечательный финский экономист Пекка Сутела	
Картина 	на	ssa	kuvassa, taulussa.. 	"Его можно увидеть на картине Саврасова ""Грачи прилетели""."	
мероприятие	на	ssa	tapahtumassa	Предполагается, что на мероприятии, которое состоится в конце марта, будут обсуждаться все предложения 	
война	на	ssa		"""Я чувствую себя здесь как на войне"";Отец был военным и пропал на войне без вести"	Почти все верили, что добро победит в войне 
шея	на	ssa	kaulassa (kaulalla)	А на шее у него висел амулет	
область	в	ssa/lla	jollakin alueella, mutta hallinollisesti läänissä, maakunnassa, oblastissa		
сфера	в	lla	Alalla / alueella	В том числе будем говорить и о развитии нашего взаимодействия в сфере экономики.	
регион	в	lla	Alueella	Мы разделяем мнение о том, что достижение стабильности в регионе служит вкладом в установление мира во всём мире,	
зона	в	lla	alueella, vyöhykkeellä		
университет	в	ssa/lla	Suomessa usein ainakin arkipuheessa: töissä ylipoistolla, opiskelee yliopistolla + ulkopaikallissija kun 'kampuksella'	Я понял, что случай в университете ему не известен. 	
край	в	lla	vrt. suomen seudulla	Дело происходило в краях довольно южных; Исключение ― только для тех, у кого в крае живут родственники	А он сидел на крае стула  
сезон	в	lla	kaudella	"В последнем матче с ""Сатурном"" в Раменском подопечные Никонова впервые в сезоне забили больше двух мячей ; В сезоне 1994/ 95 гг., отмечая 40-летие своей творческой деятельности;Эта победа стала для пилота «Ред Булл» седьмой в сезоне "	
аэропорт	в	lla	lentokentällä (vrt. kuitenkin НА аеродроме)	Наверное, думали, что кто-то будет встречать не в аэропорту, а у дверей дома.	 Большой скандал разразился нынешней зимой в Магадане, когда на аэродроме были заморожены полторы сотни солдат-пограничников 
Крым	в	lla	Krimillä (Krimin niemimaalla)		
сектор	в	lla	sektorilla	В секторе обрабатывающей промышленности; Я в секторе переработки…Легкоатлет в секторе для прыжков в длину.	
эпоха	в	lla	aikakaudella	Именно поэтому в эпохе Киевской Руси ищут сегодня истоки специфически украинских феноменов 	
лагерь	в	lla	leirillä	Ольга у нас до 8 июня в лагере работает.  В лагере Анатолий Андреевич очень болел;	
отпуск	в	lla	vrt. kuitenkin на каникулях, на отдыхе	В отпуске мы и на каникулах.	
