Nro ; infinitiivi ; preesensvartalo  ; y.1.pers  ; imperatiivi
1  ; быть ; ; ;
2  ; сказать ; ; ;
3  ; говорить ; ; ;
4  ; знать ; ; ;
5  ; стать ; ; ;
6  ; идти ; ; ;
7  ; стоять ; ; ;
8  ; думать ; ; ;
9  ; спросить ; ; ;
10 ; жить ; ; ;
11 ; смотреть ; ; ;
12 ; сидеть ; ; ;
13 ; понять ; ; ;
14 ; иметь ; ; ;
15 ; делать ; ; ;
16 ; взять ; ; ;
17 ; сделать ; ; ;
18 ; понимать ; ; ;
19 ; казаться ; ; ;
20 ; пойти ; ; ;
21 ; увидеть ; ; ;
22 ; остаться ; ; ;
23 ; работать ; ; ;
24 ; любить ; ; ;
25 ; оказаться ; ; ;
26 ; ответить ; ; ;
27 ; подумать ; ; ;
28 ; значить ; ; ;
29 ; посмотреть ; ; ;
30 ; ждать ; ; ;
31 ; лежать ; ; ;
32 ; найти ; ; ;
33 ; писать ; ; ;
34 ; решить ; ; ;
35 ; вернуться ; ; ;
36 ; считать ; ; ;
37 ; помнить ; ; ;
38 ; получить ; ; ;
39 ; ходить ; ; ;
40 ; бывать ; ; ;
41 ; прийти ; ; ;
42 ; узнать ; ; ;
43 ; заметить ; ; ;
44 ; уйти ; ; ;
45 ; слушать ; ; ;
46 ; бояться ; ; ;
47 ; глядеть ; ; ;
48 ; сесть ; ; ;
49 ; читать ; ; ;
50 ; брать ; ; ;
51 ; написать ; ; ;
52 ; начинать ; ; ;
53 ; чувствовать ; ; ;
54 ; почувствовать ; ; ;
55 ; вести ; ; ;
56 ; успеть ; ; ;
57 ; продолжать ; ; ;
58 ; продолжить ; ; ;
59 ; забыть ; ; ;
60 ; пройти ; ; ;
61 ; появиться ; ; ;
62 ; появиться ; ; ;
63 ; просить ; ; ;
64 ; пытаться ; ; ;
65 ; показать ; ; ;
66 ; вспомнить ; ; ;
67 ; держать ; ; ;
68 ; называть ; ; ;
69 ; уходить ; ; ;
70 ; подойти ; ; ;
71 ; поднять ; ; ;
72 ; спрашивать ; ; ;
73 ; бросить ; ; ;
74 ; послать ; ; ;
75 ; поставить ; ; ;
76 ; встать ; ; ;
77 ; играть ; ; ;
78 ; следовать ; ; ;
79 ; последовать ; ; ;
80 ; рассказать ; ; ;
81 ; спать ; ; ;
82 ; оставить ; ; ;
83 ; войти ; ; ;
84 ; молчать ; ; ;
85 ; рассказывать ; ; ;
86 ; отвечать ; ; ;
87 ; становиться ; ; ;
88 ; остановиться ; ; ;
89 ; остановиться ; ; ;
90 ; искать ; ; ;
91 ; начать ; ; ;
92 ; верить ; ; ;
93 ; являться ; ; ;
94 ;  бежать  ; ; ;
95 ;  кричать  ; ; ;
96 ;  открыть  ; ; ;
97 ;  происходить  ; ; ;
98 ;  приходить  ; ; ;
99 ;  подняться  ; ; ;
100 ;  показаться  ; ; ;
101 ;  собираться  ; ; ;
102 ;  собраться  ; ; ;
103 ;  попасть  ; ; ;
104 ;  принять  ; ; ;
